"Condition","Post_Text","Image_Filename","Blog_URL","Status"
"SOT Overview EN","Sacro Occipital Technique (SOT) is one of chiropractic's most precise and gentle systems. Developed by Dr. Major B. DeJarnette over 50+ years of research, SOT treats the body as three connected systems: the spine and pelvis, the internal organs, and the cranium.

Instead of forceful twisting, SOT uses padded pelvic blocks placed at specific angles under the body. Gravity and the patient's own breath do the correction — slow, physiological, and safe for every age from newborn to senior.

SOT chiropractors use detailed neurological indicators to decide exactly which correction your body needs on that visit. No two adjustments are the same because no two bodies present the same way twice.

This is why patients who haven't held a traditional adjustment often find lasting results with SOT — the technique addresses the foundation, not just the symptom.","chiropractic-adjustment.jpg","https://puravidablog.vercel.app/","Ready"
"SOT Categorías ES","La Técnica Sacro Occipital (SOT) clasifica cada paciente en una de tres categorías según lo que el sistema nervioso necesita ese día.

Categoría I: disfunción del mecanismo respiratorio craneosacral. El líquido cefalorraquídeo no fluye correctamente entre el sacro y el cráneo. Produce fatiga, niebla mental y dolores difusos.

Categoría II: inestabilidad de la articulación sacroilíaca bajo carga. El peso del cuerpo no se transfiere bien. Dolor lumbar, ciática leve, dolor al estar de pie.

Categoría III: compromiso del disco lumbar con irritación nerviosa. Ciática severa, dolor al toser, debilidad en la pierna.

Cada categoría tiene su propio protocolo de bloques pélvicos, ajustes y ejercicios. Por eso el quiropráctico SOT examina antes de cada visita — tu categoría puede cambiar durante el proceso de corrección.","sciatica.jpg","https://puravidablog.vercel.app/","Ready"
"Pelvic Blocks EN","The pelvic blocks used in SOT chiropractic look simple — two padded wedges placed at precise angles beneath the pelvis — but the mechanism is remarkable.

When positioned correctly for your category, the blocks use your own body weight and breathing to unlock the sacroiliac joints. Over 10–20 minutes, the ligaments release, the pelvis rebalances, and the spine above can reorganize.

This is different from a manual adjustment. No thrust, no popping sound required. The correction happens through sustained, gentle pressure in exactly the direction your nervous system is asking for.

Blocking is especially valuable for pregnant patients, infants, seniors, and anyone recovering from injury who can't tolerate rotational adjustments. It's one reason SOT has been used safely on every age group for more than half a century.","pregnancy-pain.jpg","https://puravidablog.vercel.app/","Ready"
"CMRT Órganos ES","¿Sabías que cada vértebra dorsal está conectada a un órgano a través del sistema nervioso autónomo?

La Técnica de Manipulación Refleja Quiropráctica (CMRT) es la rama de SOT Avanzado que aborda la función de los órganos a través de la columna. Fue desarrollada por el Dr. DeJarnette después de décadas observando que ciertos patrones vertebrales acompañaban a trastornos específicos: T5 con el hígado, T7 con el páncreas, T10 con los riñones.

CMRT combina el ajuste vertebral con puntos de reflejo en el abdomen y el tejido blando sobre el órgano. El objetivo no es ""tratar"" el órgano, sino restaurar la comunicación nerviosa que lo regula.

Pacientes con reflujo, fatiga suprarrenal, síndrome premenstrual o problemas digestivos crónicos suelen notar cambios cuando el sistema nervioso autónomo vuelve a equilibrarse.","reflux.jpg","https://puravidablog.vercel.app/","Ready"
"Cranial 22 Bones EN","Most people think the skull is one solid piece. It isn't. The human cranium is made of 22 separate bones connected by sutures — and those sutures continue to move, subtly, throughout your entire life.

That movement matters. It's what drives the cranial respiratory mechanism: the gentle pumping rhythm that moves cerebrospinal fluid around your brain and down your spinal cord roughly 8–12 times per minute.

When cranial bones lock up — from birth trauma, a fall, a whiplash injury, or years of dental work — that rhythm slows. Cerebrospinal fluid flow decreases. Headaches, vertigo, TMJ, brain fog, and adjustments that ""won't hold"" are common results.

SOT Craniopathy is the system that examines and corrects those 22 bones one at a time. The adjustments are so light you can barely feel them — but the changes patients report are anything but subtle.","headache.jpg","https://puravidablog.vercel.app/","Ready"
"Craniopatía TMJ ES","La articulación temporomandibular (ATM) es la única articulación en el cuerpo que depende de seis huesos del cráneo para funcionar correctamente: el temporal, el esfenoides, el maxilar, el cigomático, el occipital y la mandíbula.

Por eso los tratamientos que solo trabajan la mandíbula suelen dar alivio temporal. Si el temporal está rotado o el esfenoides está comprimido, la ATM nunca podrá cerrarse de forma simétrica.

La Craniopatía SOT evalúa los 22 huesos del cráneo y los ajusta con presiones muy suaves — tan ligeras que parecen apenas un toque. Pero cuando el esfenoides se libera, el paciente a menudo siente que la mandíbula ""encuentra su lugar"" por primera vez en años.

Si escuchas crujidos, sientes dolor al masticar o despiertas con la mandíbula tensa, la respuesta rara vez está solo en la mandíbula.","bruxism.jpg","https://puravidablog.vercel.app/","Ready"
"Adjustments Won't Hold EN","""My adjustments don't hold."" It's one of the most common complaints Dr. Foss hears from patients who have seen other chiropractors for years.

There's usually a reason — and it's usually cranial.

When the cranial bones are misaligned, the nervous system can't stabilize the corrections made in the spine below. The body keeps pulling back to its familiar pattern because that pattern starts at the top, not the bottom.

Advanced SOT practitioners address the cranium first in these cases. Once the sphenobasilar junction (the hinge between the back and front of your skull) moves freely again, spinal adjustments start to hold for days, then weeks, then months.

If you've been adjusted for years but the same pain keeps returning, the missing piece may be three inches above your neck.","post-concussion.jpg","https://puravidablog.vercel.app/","Ready"
"Categoría II ES","Categoría II en SOT describe una inestabilidad específica de la articulación sacroilíaca donde los ligamentos no transfieren el peso correctamente del tronco a las piernas.

Las señales clásicas: dolor al estar mucho tiempo de pie, dolor al salir del auto, sensación de que la pelvis ""se sale"" al caminar, dolor lumbar unilateral que empeora con la actividad.

La corrección usa bloques pélvicos colocados en un patrón diferente al de Categoría I. Los bloques crean un torque suave que permite a los ligamentos sacroilíacos reacomodarse bajo la propia carga del cuerpo.

Es un problema muy común en madres después del parto, en atletas con lesiones de cadera antiguas, y en personas que pasaron meses con una lesión lumbar no tratada. Corregirlo temprano evita años de compensaciones dolorosas arriba y abajo en la cadena.","si-joint-dysfunction.jpg","https://puravidablog.vercel.app/","Ready"
"SORSI Certification EN","Not every chiropractor who says they ""do SOT"" has completed the full Advanced SOT curriculum. The organization that certifies practitioners — SORSI, the Sacro Occipital Research Society International — requires years of coursework, case reports, and practical examinations to reach the Advanced level.

The Advanced SOT curriculum includes: the full Category I-II-III protocols, CMRT organ adjusting for all major systems, SOT Craniopathy at the Advanced level, and specialized protocols for pediatrics, pregnancy, and complex cases.

Dr. Dan Foss is one of a small number of chiropractors worldwide certified at the Advanced level in all three pillars — spine, organs, and cranium. That integration is why patients in San Antonio travel from across the city to this practice after being managed, but not resolved, elsewhere.","chiropractic-adjustment.jpg","https://puravidablog.vercel.app/","Ready"
"Whiplash Ciencia ES","El latigazo cervical no es solo un esguince muscular. Durante una colisión trasera a solo 5 mph, la cabeza acelera hasta 2.5 veces la fuerza del impacto en menos de 200 milisegundos — más rápido de lo que cualquier músculo puede reaccionar.

El daño real ocurre en los ligamentos profundos del cuello, los discos cervicales y, con frecuencia, en el mecanismo craneal. Por eso muchos pacientes con latigazo ""menor"" desarrollan dolores de cabeza, vértigo, tinnitus o niebla mental semanas o meses después del accidente.

La evaluación SOT posterior a un accidente revisa no solo la columna cervical, sino también el occipucio, el temporal y el esfenoides — los tres huesos craneales que más se desalinean en un impacto. Tratar solo el cuello suele dejar síntomas residuales que nadie puede explicar.","whiplash.jpg","https://puravidablog.vercel.app/","Ready"
